location,spot_id,lat,lon
Satellite Beach,548,28.1728,-80.5878
Waimea Bay,549,21.6424,-158.065
Gorleston,550,52.5766,1.7386
South Padre Island,551,26.12,-97.16
Hoddevika,552,62.1236,5.1539
Brusand,553,58.5285,5.7695
Sele,554,58.8135,5.5427
Point Perfect (Orre),555,58.6969,5.5382
Saltstein,556,58.965,9.8529
Al Ashkharah,557,21.8266,59.5619
Salalah,558,17,54.09
Seal Rocks,559,-32.45,152.54
Cape Kiwanda,560,45.2164,-123.977
North Jetty (Hikkaduwa),561,6.1436,80.0969
Arugam Bay,562,6.8382,81.8407
G-Land,563,-8.7338,114.34
Nusa Dua,564,-8.8218,115.23
Uluwatu,565,-8.8164,115.086
Kuta Beach,566,-8.7139,115.166
Desert Point,567,-8.7498,115.824
Kuta,568,-8.91,116.3
Beacons,569,0.2108,73.1421
Tiger Stripes,570,0.283,73.4521
Malé,571,4.1709,73.5186
Pasta Point,572,4.3151,73.5916
Castlepoint,573,-40.9,176.23
Elbow Ledge,574,41.42,-71.31
Lagundri Bay - The Point,575,0.5698,97.7346
Moulay Bousselham,576,34.8768,-6.3036
Barra Beach,577,-23.7862,35.5122
Jelly Babies (Anakao),578,-23.6679,43.6231
Monseigneur Bay,579,-25.0354,47
Accra,580,5.53,-0.21
Busua Beach,581,4.807,-1.9332
Mutrakni Point,582,4.8056,-2.1708
Elmina,583,5.0853,-1.3446
Assini,584,5.04,-2.89
Grand-Lahou,585,5.1239,-5.0437
Dagbego (Dabego),586,4.9839,-5.9727
Sassandra,587,4.9408,-6.0886
San Pedro,588,4.7251,-6.6256
Boucan,589,-21.0282,55.2242
Roches-Noires,590,-21.0454,55.2164
Pointe des Trois-Bassins,591,-21.1121,55.2512
Saint-Leu,592,-21.1646,55.2857
Saint-Pierre,593,-21.32,55.47
Tamarin Bay,594,-20.3269,57.3721
Souillac,595,-20.524,57.5221
La Ferme,596,-19.74,63.32
Choshi,597,35.7124,140.824
Torami,598,35.3478,140.402
Hebara,599,35.1651,140.335
Kamogawa (Big Ben),600,35.1104,140.115
Wada Rivermouth,601,35.0073,139.98
Niijima,602,34.36,139.28
Kaifu River,603,33.5949,134.363
Ikumihama,604,33.527,134.285
Niyodo,605,33.4544,133.4764
Aha Point,606,26.7396,128.321
Kudaka,607,26.1507,127.888
Castles,608,26.0794,127.663
Sunabe Seawall,609,26.3304,127.741
Mainside,610,26.4405,127.71
Buma,611,26.6023,127.936
Okuragahama,612,32.3895,131.641
Ishinamigawa,613,32.3259,131.608
Kisakihama,614,31.8169,131.458
Oura,615,31.6228,131.456
Pipeline & Backdoor,616,21.6682,-158.051
Peahi - Jaws,617,20.945,-156.298
Ma'alaea Bay,618,20.7895,-156.511
Teahupoo,619,-17.8672,-149.254
Taapuna,620,-17.603,-149.622
Rangiroa Atoll,621,-15.09,-147.72
Faré,622,-16.71,-151.04
Asu,623,0.9118,97.2635
Bawa,624,0.81,97.35
Lances Left,625,-2.3861,99.8368
Macaronis,626,-2.7886,99.9903
Sibigau Rights,627,-3.075,100.195
E-Bay,628,-1.8299,99.2528
Ujung Bocur,629,-5.3,104
Jimmys Point,630,-5.008,103.742
Pangandaran,631,-7.6911,108.636
Cimaja,632,-6.9621,106.486
Ombak Tujuh,633,-7.2765,106.371
One Palm Point,634,-6.655,105.171
Super Suck,635,-8.9318,116.739
Palau Rote,636,-10.87,122.81
Cloud 9,637,9.814,126.167
Badoc Point,638,17.9195,120.438
Jardim do Mar,639,32.7373,-17.2132
